#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Date Time: 2024-02-08 18:55:14.613
#Start: 1 Hz
#Stop: 2e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 2
#Range: 5.13569 V
#Offset: 8.29643e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-69.21915246975358,-10.53627862849748
1.101556726136675,-65.77347539883461,-15.40823207395555
1.213427220896945,-62.46739881671027,-19.32897107968216
1.336658916856357,-59.15304754669258,-24.49056377111295
1.472405620413677,-55.86433923501731,-29.5831362070994
1.621938314768127,-52.57366210205483,-34.94621980450103
1.786657060011607,-49.28892850285725,-40.45000866842491
1.968104101755354,-46.04095129571814,-46.43900398095219
2.167978311025786,-42.79188704663309,-52.81104147129451
2.388151090628878,-39.58508847265773,-59.62683612144482
2.630683896912867,-36.40459607019136,-66.90852757420174
2.897847540983796,-33.26233210588731,-74.70068064957806
3.192143450089312,-30.18728147217772,-82.99532355520429
3.516327088239006,-27.19509883693937,-91.79747261116199
3.873433755346252,-24.28740659567955,-101.1257587654619
4.266807006446487,-21.4763175164158,-110.9819049401494
4.700129957078209,-18.76734870601553,-121.3863279194528
5.177459767935964,-16.17156530827165,-132.365634291527
5.703265631671878,-13.69815687707874,-143.9417802482201
6.282470617512264,-11.37157488731707,-156.1493349111312
6.920497765476638,-9.213271559595256,-168.990379270835
7.623320861774605,-7.257953691914999,177.5773502735166
8.397520370785816,-5.544159166144901,163.7015180964619
9.250345047308825,-4.10201094162018,149.6465284198007
10.1897798059481,-2.946407845115196,135.7699303782954
11.22462048309374,-2.066824185143981,122.4689481850287
12.36455619148338,-1.429135434265498,110.0631689163791
13.62026003842331,-0.9842727050129516,98.74461870967703
15.00348905705574,-0.6834594953734417,88.57161451160944
16.52719428631772,-0.4835899123433212,79.51386318121544
18.20564203026083,-0.3515491036942134,71.47957791762603
20.05454743207029,-0.2648512474844297,64.35250473053054
22.09122161342397,-0.2078292909354789,58.02226653398753
24.33473375684297,-0.1691882679893864,52.3873048111179
26.80608964859552,-0.1432603847521443,47.35513199515001
29.52842835383298,-0.1246577437317817,42.85104365860281
32.52723886540949,-0.1110638071123189,38.80874017028071
35.83059875484602,-0.1008590022839296,35.17169831076876
39.46943705990486,-0.09223736773003197,31.89329694947178
43.47782387016617,-0.08509775532614498,28.93183092418313
47.89328932196705,-0.07969821943514128,26.25096690113037
52.7571749894225,-0.07240588592913688,23.81748391540114
58.11502096156779,-0.06896423388481547,21.62985789336283
64.01699222978847,-0.06467389299505216,19.6345747292986
70.51834837776262,-0.06068080601117951,17.82106259145208
77.67996097157355,-0.05711901485276907,16.1734286191938
85.56888349427092,-0.05372517087797544,14.67406271635209
94.25897916111927,-0.05126900779801162,13.3079125891067
103.8316124937074,-0.04785874110600517,12.06838820443331
114.3764111280598,-0.04590753494716718,10.93543289371842
125.9921049894874,-0.04386210617082344,9.902772339398183
138.7874506912877,-0.04136040488648242,8.962324678328772
152.8822498123495,-0.04037481936034351,8.108118696985898
168.4084705877004,-0.0393007595629318,7.315379308238008
185.5114835142713,-0.03816617255098294,6.592856045640918
204.3514224407379,-0.03673164634346279,5.937410095435908
225.104683885191,-0.03625228632073698,5.33148404299402
247.9655786186014,-0.03574491026360797,4.775362755614417
273.1481509776921,-0.03492994256633028,4.262174324156035
300.8881829412715,-0.03977222614662625,3.902852704396224
331.4454017339991,-0.03401113932512966,3.350346583667672
365.1059116271583,-0.03392752860627971,2.94434794088054
402.1848727051567,-0.03380203504951706,2.562596948087688
443.0294516787861,-0.03254057880477001,2.205863822473333
488.0220723734094,-0.0328658659391482,1.869916944932854
537.5839963260862,-0.03238342556629869,1.548171389456787
592.1792670164315,-0.0325130995072601,1.245329889662838
652.3190546606343,-0.03214963588577217,0.9467797578698196
718.566442248537,-0.03139257988988572,0.6617674527062363
791.5416976349733,-0.03126392495128186,0.3822444952097328
871.9280810474446,-0.03048267292110327,0.1103009605054908
960.4782423852547,-0.03203569812040049,-0.1717773428837184
1058.021268207405,-0.0305001753878743,-0.449487033850545
1165.470444389518,-0.03085480032425545,-0.7242735158299389
1283.83180713077,-0.03004616942188145,-1.016396358843306
1414.213562373096,-0.03011416413025125,-1.317037688329677
1557.836461825788,-0.02911915519718057,-1.627634725390621
1716.04523274515,-0.02908475254044287,-1.958272242031804
1890.32116848519,-0.02858096097923287,-2.305793134440719
2082.295997703392,-0.02840352973691763,-2.673837979455538
2293.767162077645,-0.02787199110636859,-3.067299545883374
2526.714645578055,-0.02800400199484962,-3.492763371286308
2783.319512864541,-0.02801110179235606,-3.946883031676187
3065.98433038338,-0.02788159384671106,-4.441152408112245
3377.355661363451,-0.02882000342235677,-4.978049281703318
3720.348845330674,-0.02832959744562323,-5.56041324516984
4098.175294148803,-0.02847828423446885,-6.196109641083048
4514.372560156743,-0.02974255411345761,-6.892829117003821
4972.837457927492,-0.02961780424457928,-7.651761101386548
5477.862549764418,-0.03153406444651309,-8.479134404482949
6034.176336545168,-0.03270962488493785,-9.382968162338406
6646.987530216071,-0.03495357109074612,-10.37626587193935
7322.033822456089,-0.03578007317825738,-11.46314437420483
8065.63560612671,-0.03814579734598712,-12.65769273785588
8884.755152496309,-0.03992452554180104,-13.96679739053908
9787.061798309749,-0.04170465526732599,-15.40368265262028
10781.00375304339,-0.04382672318664945,-16.98585138898352
11875.88719866962,-0.04551607165320001,-18.72991905258746
13081.96342253493,-0.04688552973980884,-20.64288849744533
14410.52479916727,-0.04858555961791643,-22.74847887882242
15874.010519682,-0.04868561519679283,-25.07502178495188
17486.12305871999,-0.04947354821868576,-27.64452308285893
19261.95646938656,-0.04917001047106273,-30.47999714723822
21218.13770740453,-0.04840986709692136,-33.61506279523547
23372.9823076856,-0.04602104920092703,-37.09966795809088
25746.66587090448,-0.04520125321779625,-40.95142799226825
28361.41296568832,-0.04659205361591304,-45.22194140910204
31241.7052150938,-0.0405130798366424,-50.00365024497484
34414.51051566567,-0.03793281773908268,-55.30264453194315
37909.53553523274,-0.03447610344264224,-61.26289634905432
41759.50385355275,-0.03904599803322102,-67.9445625506914
46000.46235001132,-0.04730228929032674,-75.50036775298244
50672.11870705171,-0.06972450303785899,-84.15160137215656
55818.21318934862,-0.1188506086604661,-93.92137631703936
61486.92817965766,-0.2274365178422967,-105.2848670284231
67731.33930578439,-0.4362434964406032,-118.4678335165327
74609.91238253185,-0.8363324196689094,-133.7292811676888
82187.05082144572,-1.563713003886322,-151.0383986249242
90533.69863369993,-2.759867445548689,-169.9066711746402
99728.00467198262,-4.513451691244644,170.9310966753645
109856.0543306119,-6.793953647698077,152.7142255990387
121012.675554721,-9.463148867721301,136.2673143084901
133302.3267050977,-12.38610548029723,121.9015953174143
146840.0745916684,-15.46321733056219,109.413256866216
161752.671832863,-18.62574527499581,98.54483701695146
178179.743628068,-21.83951540851672,88.97012566140489
196275.0950548059,-25.08873224106226,80.54201686298046
216208.1511307361,-28.37108588390623,73.07323728057185
238165.5431236365,-31.65830437007773,66.45916814766099
262352.855961835,-34.98150689681259,60.4598598049427
288996.5531059249,-38.30829903923728,55.17366366287779
318346.096904145,-41.64456402775593,50.59096508069517
350676.2842841177,-45.01052473402129,46.72797806038577
386289.8196497857,-48.30171487620866,43.09457470582542
425520.1490733427,-51.60378615617488,40.39835384121781
468734.5823184201,-54.71631960935204,38.14237993374281
516337.7319257184,-58.15308636515422,37.36913171333519
568775.3015609292,-60.90071297346648,38.42317489927174
626538.2590948555,-64.04939972904485,38.81924746152937
690167.433487898,-66.30065042247895,38.93606418686601
760258.5785190784,-67.94537767758742,37.86376065028209
837467.9507707948,-70.13923805581973,36.04350355393289
922518.4540954644,-71.53572644496414,25.44550980044444
1016206.408094064,-73.38044295235042,21.68128107166394
1119409.003979202,-75.71751413188056,14.35096801257007
1233092.517631243,-77.9888915868214,8.401398125128338
1358321.356745498,-77.69148916484268,-6.004450605240393
1496268.026778092,-79.89278095423526,-10.50160134700178
1648224.109000653,-81.37375767212789,-16.26723857494558
1815612.35345029,-80.65155699966674,-53.01139761024947
2000000,-78.92485762741822,-69.1443921038657
